product_price,customer_purchase_history,review_rating,delivery_time_days,discount_percentage,previous_returns,days_since_purchase,returned,product_category,size_ordered
129,0,3.2,6,31,10,1,0,Clothing,L
39,0,1.8,1,21,0,18,0,Beauty,L
70,66,1.9,2,20,0,4,1,Home_Decor,XS
160,0,4.1,6,60,10,1,0,Beauty,M
104,1,1.0,6,80,9,1,0,Sports,L
10,0,4.2,1,76,0,15,0,Sports,XL
85,0,1.8,1,80,5,1,1,Sports,XL
11,0,2.3,3,53,6,14,0,Beauty,M
50,0,5.0,4,22,5,11,0,Beauty,S
10,0,4.9,1,41,0,21,0,Beauty,M
101,2,5.0,2,31,5,1,0,Clothing,L
124,0,4.0,1,2,0,13,0,Beauty,XXL
83,6,5.0,3,4,1,12,0,Sports,M
10,0,5.0,1,36,0,23,0,Electronics,M
10,0,1.1,3,0,0,30,0,Beauty,M
112,0,5.0,3,12,3,1,1,Electronics,M
10,0,2.0,1,0,0,11,0,Sports,M
76,29,1.0,5,14,0,10,0,Beauty,L
10,0,5.0,1,38,0,30,1,Clothing,XS
10,0,5.0,5,38,0,30,0,Clothing,M
95,11,5.0,2,14,3,3,0,Electronics,L
43,0,4.6,5,44,5,15,0,Clothing,XS
109,20,5.0,1,17,4,1,0,Clothing,S
104,0,5.0,1,18,0,6,0,Clothing,M
10,0,1.0,1,17,0,21,0,Sports,XL
14,22,1.4,5,0,4,9,0,Clothing,L
176,0,5.0,1,0,2,1,0,Home_Decor,XS
10,0,1.0,6,37,0,30,0,Beauty,M
69,0,2.4,6,54,4,11,0,Clothing,M
35,4,5.0,1,19,4,6,0,Clothing,L
83,0,4.2,7,43,8,6,0,Clothing,L
97,24,3.8,1,0,4,1,0,Home_Decor,XL
15,26,5.0,1,21,0,24,0,Clothing,M
58,11,4.8,1,33,2,1,0,Clothing,NA
10,58,1.0,9,0,0,29,0,Beauty,XXL
10,18,1.1,1,0,0,11,0,Home_Decor,XL
10,0,1.0,9,0,0,30,0,Home_Decor,L
45,0,4.5,8,72,2,28,0,Clothing,M
149,25,5.0,5,39,10,1,0,Home_Decor,M
128,0,3.1,3,56,6,1,0,Electronics,XS
83,0,5.0,1,46,9,1,1,Home_Decor,M
10,98,1.0,10,53,0,24,1,Home_Decor,L
10,9,1.0,6,26,0,30,0,Home_Decor,L
132,0,5.0,1,4,0,1,0,Sports,XL
129,4,2.0,1,67,8,1,0,Sports,S
10,5,1.0,9,0,0,30,0,Sports,S
10,10,1.0,1,33,0,27,0,Home_Decor,L
94,0,4.7,1,0,1,1,0,Electronics,M
20,7,2.4,1,80,0,18,0,Home_Decor,S
10,0,2.3,1,0,0,11,0,Clothing,NA
97,0,2.4,4,66,9,1,0,Electronics,L
32,39,5.0,1,22,0,21,0,Sports,M
14,0,5.0,1,15,0,28,0,Beauty,XL
49,35,4.6,1,65,0,2,1,Electronics,L
119,17,4.6,4,39,8,1,0,Sports,L
49,3,3.6,1,0,3,1,0,Electronics,XL
48,7,2.5,1,0,2,1,0,Electronics,S
10,47,5.0,1,75,2,29,1,Home_Decor,L
80,0,5.0,4,41,5,11,0,Clothing,XS
10,0,2.4,1,0,3,10,0,Beauty,XS
45,33,4.7,3,36,0,24,1,Sports,XL
10,10,1.0,3,0,0,24,0,Electronics,M
10,32,5.0,1,28,0,29,0,Beauty,L
21,0,1.0,4,2,0,22,0,Electronics,XL
41,0,1.8,3,24,0,30,0,Clothing,XL
67,0,3.7,3,57,9,1,0,Beauty,XL
68,0,2.4,1,8,0,17,0,Sports,M
56,50,5.0,4,2,2,16,0,Electronics,M
53,50,1.0,6,43,0,8,1,Clothing,S
62,26,5.0,1,24,0,5,0,Beauty,M
66,13,4.1,4,17,4,4,0,Electronics,M
10,0,4.1,1,66,0,13,0,Electronics,L
10,50,1.0,2,64,1,21,1,Sports,L
10,0,5.0,1,16,0,29,0,Clothing,XXL
111,0,4.3,1,0,0,8,0,Home_Decor,L
105,11,5.0,1,0,8,1,0,Electronics,L
10,30,1.0,7,36,0,30,0,Beauty,M
63,0,2.5,5,0,0,24,0,Sports,XS
13,0,5.0,4,39,0,30,0,Sports,M
28,34,5.0,1,39,0,20,0,Electronics,L
61,0,3.9,1,0,0,4,0,Electronics,M
115,0,5.0,1,0,0,4,0,Electronics,L
74,4,4.9,2,24,4,1,0,Home_Decor,L
41,26,2.7,1,0,3,1,0,Electronics,S
29,0,5.0,5,36,6,18,0,Clothing,M
120,0,4.6,1,8,0,1,0,Beauty,M
