product_price,customer_purchase_history,review_rating,delivery_time_days,discount_percentage,previous_returns,days_since_purchase,returned,product_category,size_ordered
133,32,1.0,2,80,6,19,1,Clothing,XL
187,6,1.0,7,40,0,30,0,Clothing,L
45,0,5.0,5,40,0,1,1,Electronics,L
108,0,3.8,5,80,9,24,1,Electronics,L
177,6,1.0,10,40,0,20,0,Clothing,M
167,1,1.0,8,40,4,20,0,Electronics,L
79,0,2.3,11,80,4,30,0,Clothing,XS
90,0,4.3,5,69,1,19,1,Clothing,L
77,7,3.9,12,40,4,1,0,Electronics,NA
112,0,1.2,6,47,5,29,0,Electronics,L
113,23,1.0,6,40,3,1,0,Clothing,M
92,33,1.0,8,40,9,13,0,Clothing,M
152,0,4.2,7,80,0,13,0,Sports,L
128,0,1.0,1,47,3,30,0,Clothing,XL
78,0,2.9,6,56,4,20,0,Electronics,L
54,0,5.0,1,41,6,2,0,Clothing,M
151,3,1.0,7,56,4,20,0,Clothing,S
70,0,4.2,12,40,6,4,0,Clothing,L
10,10,1.0,12,80,5,30,1,Clothing,L
149,0,1.7,7,40,7,13,0,Home_Decor,XXL
92,0,5.0,12,40,0,1,0,Clothing,M
167,0,1.7,2,53,7,19,1,Clothing,L
73,3,1.0,12,47,1,27,0,Clothing,M
121,0,5.0,1,66,2,7,1,Clothing,M
67,21,1.5,6,78,6,6,1,Sports,XL
124,16,1.0,7,80,5,30,0,Electronics,S
102,3,2.4,12,40,6,2,0,Clothing,M
220,0,5.0,1,67,15,22,1,Electronics,L
95,0,5.0,2,80,1,20,1,Electronics,L
213,8,1.0,4,52,8,21,0,Electronics,S
100,0,3.0,7,40,3,12,0,Clothing,M
112,8,1.9,5,41,0,8,1,Clothing,L
168,0,4.0,1,80,4,30,1,Clothing,XL
145,16,1.0,10,59,5,21,0,Home_Decor,S
66,12,1.0,6,59,0,24,1,Electronics,L
110,0,3.7,1,40,4,25,0,Clothing,S
135,0,3.5,3,80,11,24,1,Clothing,S
167,43,1.0,3,40,4,1,0,Clothing,S
71,17,1.0,3,80,0,23,1,Clothing,XL
57,12,1.0,10,80,12,22,1,Beauty,S
71,21,1.0,7,50,6,20,0,Clothing,L
138,17,1.0,9,80,5,13,0,Clothing,M
102,29,1.0,8,40,3,7,0,Beauty,NA
123,0,4.6,9,80,0,16,0,Clothing,XL
69,9,2.9,2,48,0,5,1,Home_Decor,L
