product_price,customer_purchase_history,review_rating,delivery_time_days,discount_percentage,previous_returns,days_since_purchase,returned,product_category,size_ordered
158,90,5.0,2,63,0,6,1,Sports,S
241,0,3.0,5,28,0,1,0,Beauty,M
146,0,1.2,4,0,0,1,0,Home_Decor,L
15,0,1.5,2,0,0,13,0,Beauty,S
127,19,2.1,3,28,0,1,1,Beauty,M
14,0,1.0,1,0,0,1,0,Electronics,M
285,0,5.0,6,37,0,1,0,Home_Decor,M
197,29,1.0,7,24,0,1,0,Home_Decor,M
10,0,2.3,1,0,0,1,1,Home_Decor,M
42,42,5.0,1,0,0,1,0,Beauty,S
101,26,1.0,4,44,3,1,1,Sports,L
10,10,5.0,1,0,4,8,0,Home_Decor,XL
68,0,3.3,5,0,0,7,0,Beauty,L
10,28,1.0,1,47,0,8,0,Electronics,S
188,17,5.0,7,39,0,13,1,Sports,S
10,0,2.0,1,5,0,18,0,Electronics,M
111,0,1.9,3,0,3,1,0,Sports,M
21,55,5.0,3,0,2,10,0,Beauty,M
45,40,5.0,1,0,1,1,0,Clothing,L
35,11,5.0,1,0,5,1,0,Sports,S
106,49,1.8,5,42,7,1,0,Electronics,XS
51,0,1.1,1,28,0,1,0,Beauty,M
28,0,3.3,4,0,0,28,0,Sports,L
61,5,1.6,1,6,0,1,0,Clothing,S
68,0,1.0,4,28,0,22,0,Clothing,L
232,1,4.6,7,7,0,1,0,Home_Decor,M
10,37,3.7,1,0,0,6,0,Home_Decor,XL
10,5,1.0,1,2,0,15,0,Electronics,XL
128,2,1.0,3,0,0,1,0,Sports,M
20,46,1.6,1,55,1,11,0,Sports,M
11,27,5.0,2,0,5,1,0,Home_Decor,M
10,27,2.2,2,18,4,11,0,Sports,M
277,70,5.0,6,48,0,3,1,Sports,L
10,0,2.0,3,0,6,8,0,Clothing,XL
67,29,4.3,2,12,6,1,0,Home_Decor,L
49,31,4.6,4,33,10,12,0,Beauty,XL
44,11,5.0,1,0,2,1,0,Home_Decor,M
10,20,1.5,1,38,0,1,0,Beauty,S
43,7,1.0,1,42,1,1,0,Clothing,L
218,7,4.5,5,7,0,1,0,Electronics,M
10,36,3.4,1,0,0,1,0,Sports,L
118,99,5.0,3,52,0,1,0,Clothing,M
10,16,3.4,1,0,0,11,0,Sports,S
10,0,1.0,1,56,0,1,0,Electronics,NA
34,4,1.7,2,14,0,17,0,Electronics,S
125,35,3.1,2,17,0,1,0,Clothing,NA
165,0,3.0,3,0,0,1,0,Electronics,XXL
98,0,2.7,1,24,0,1,0,Beauty,L
210,0,5.0,3,0,0,1,0,Electronics,L
212,12,2.5,7,68,0,17,1,Sports,L
10,0,1.6,1,0,1,15,0,Sports,XL
23,0,1.0,3,0,0,1,0,Sports,M
38,17,1.9,3,12,4,6,0,Sports,M
95,42,5.0,1,0,3,1,0,Beauty,L
130,59,5.0,3,70,0,16,1,Home_Decor,M
109,28,5.0,7,0,9,3,0,Clothing,M
72,10,1.0,1,31,5,1,0,Sports,M
203,22,5.0,4,29,0,1,1,Electronics,L
10,8,1.0,1,0,0,5,0,Sports,XL
117,47,3.0,5,32,8,1,1,Electronics,M
120,65,5.0,4,0,2,1,0,Electronics,XL
177,0,3.9,5,0,0,1,0,Sports,L
307,17,5.0,3,55,0,1,0,Beauty,XL
236,1,1.6,8,10,0,1,0,Electronics,L
35,14,5.0,1,0,5,1,0,Electronics,L
249,31,3.3,8,68,3,1,1,Sports,XS
41,53,3.6,1,8,0,1,0,Electronics,XL
10,0,4.2,1,0,0,1,0,Electronics,XS
10,13,4.3,1,0,0,1,0,Sports,XL
83,55,5.0,1,23,0,1,0,Sports,NA
10,0,1.0,1,20,3,1,0,Clothing,M
111,3,4.3,1,28,6,1,0,Beauty,M
53,0,1.4,1,0,0,1,0,Beauty,L
